id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
1;"'DLS GROUP'"" HOLDING GROUP'"" LLP""";Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Advertising / Media Agency and Brands);Drama / Fiction / Scripted Format (Series, TV Movies);Europe (Kazakhstan);"BC 'Water - Green boulevard'"",12/1 , 5 floor, 320 unit   | Konayevstr., | ASTANA | Z05H9B0 | Kazakhstan"""; - 
2;"'KIT FILM STUDIO'""""";Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies);Europe (Russia);29 Vereyskaya st  | Bld.134 | MOSCOW | MOSCOWREGION | 121357 | RussianFederation;http://www.kit-film.com/
3;# EDITH PARIS;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Sales Agent);"Docs & Factual (Arts, Music & Culture, Current Affairs, Ethnology & Sociology, History & Civilisation, Lifestyle, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine)";Europe (France);24 rue Anatole France  | LEVALLOISPERRET | Ile-de-France | 92300;http://www.edithparis.com/
4;07 PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (TV Channel);"Kids & Teens (Docs for Kids, Live-Action); Docs & Factual (History & Civilisation); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show)";Europe (Ukraine);30 Dmytrivska str.  | KYIV | 01601 | Ukraine;http://www.inter.ua/
5;1+1 GROUP OF COMPANIES;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Ukraine);Kyrylivska str. 23  | KYIV | 04080 | Ukraine;http://www.1plus1.ua/
6;1+1 MEDIA ;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation, Rights Holder / Distributor);"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Ukraine);23 Kyrylivska Street  | KYIV | 04080 | Ukraine;http://www.media.1plus1.ua/
7;100.000VOLTS.TV;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality)";Europe (Belgium);Rodedreef 55  | SCHILDE | 2970 | Belgium;http://www.100000volts.tv/
8;101 FILMS LIMITED;Broadcasting platforms (Online Video Platform/MCN);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, TV Movies); BrandedEntertainment";Europe (UK);Fisher Street Studios  | 3FisherStreet | LEWES | EastSussex | BN72DG | UnitedKingdom; - 
9;102 DISTRIBUTION;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Docs & Factual (Arts, Music & Culture, Current Affairs);Europe (Italy);Via Giuseppe Sacconi 4/B  | ROME | Lazio | 00196 | Italy;http://www.102distribution.com/
10;108 MEDIA;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Music; Sports";North America (Canada);25 Lesmill Rd  | Suite5 | TORONTO | M3B2T3 | Canada;http://www.108media.com/
11;1080 LINEAS WILDLIFE PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Nature & Wildlife);Europe (Spain);Calle  | LeonXIII,40 | PUEBLADELACALZADA | 06490 | Spain;http://www.1080lineas.es/
12;1080 MEDIA TV;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Reality / Factual); Sports";Europe (UK);6 Glenthorne Mews  | 115AGlenthorneRd | LONDON | W60LJ | UnitedKingdom;http://www.1080media.org/
13;10TH AVE PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Kids Interactive, Live-Action); Docs & Factual (Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Series)";North America (Canada);209 Jean Juneau  | ST-AUGUSTIN-DE-DESMAURES | QC | G3A2W1 | Canada;http://www.10ave.com/
14;111 PRODUCCIONES;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Content management);"Kids & Teens (Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";South & Central America (Peru);Calle La Avellana 137  | Surquillo | LIMA | 34 | Peru;http://www.111producciones.com/
15;13 ENTERTAINMENT;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);Drama / Fiction / Scripted Format (Feature Film);Asia Pacific (Indonesia);Jl. Bintaro Raya No. 5  | JAKARTASELATAN | 12240 | Indonesia;http://www.13entertainment.com/
16;1441 PRODUCTIONS; - ; - ; - ;Europe (Turkey);LEVENT MAH HACI ADIL CD NO.2  | ISTANBUL | 34330 | Turkey;http://www.1441productions.com.tr/
17;1905 (BEIJING) NETWORK TECHNOLOGY CO., LTD.;Broadcasting platforms (Online Video Platform/MCN);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, TV Movies);Asia Pacific (China);3F Building F Huayuan Enterprise  | No5BeizhanNorthStreet | BEIJING | Beijing | 100044 | China;http://1905.com/
18;2 PRO COMUNICACAO;Financing & supports (PR, Talent and Literary Agency);Broadcasting platforms (Social Network/Online publisher); - ;South & Central America (Brazil);Rua Dep Lacerda Franco 300  | SAOPAULO | SP | 0541800 | Brazil; - 
19;20 MINUTES NICE; - ; - ; - ;Europe (France);Agence Nice presse  | 4rueSteRéparate | 06300 | France;http://www.20minutes.fr/
20;2001 O PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.); - ; - ;Europe (France);12-16 rue Guynemer  | ISSYLESMOULINEAUX | Ile-de-France | 92130; - 
62;99PRO MEDIA GMBH;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Current Affairs, Reality / Factual);Europe (Germany);Eisenacher Strasse 86  | LEIPZIG | Sachsen | 04155 | Germany;http://www.99pro.de/
21;21 MILLLION PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Film Commission / Fundings);Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies);Europe (UK);6 Styles Lane  | WADHURST | TN56DZ | UnitedKingdom;http://www.21million.tv/
22;24 HOURS MAGAZINE; - ; - ; - ;Africa (Egypt);7 Delta St Off Tahrir street  | Dokkigiza | CAIRO | 12311 | Egypt;http://www.moodygraphic.com/
23;28LAB;Content creation / Production / Distribution (Licensing Agent);Content creation / production / rights holder (Production company/Content creation, Sales Agent);"Docs & Factual (Archive, Current Affairs, Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Short Film); Sports; News";Asia Pacific (Japan);;http://www.28lab.com/
